timestamp,commit,recall@1,recall@3,recall@5,recall@10,mrr@10,ndcg@10
2026-08-30T18:12:20+08:00,746e0b3,0.3318,0.6953,0.8362,0.9592,1.0,0.9705
2026-09-04T19:19:55+08:00,3d76153,0.2786,0.6096,0.7615,0.882,0.9391,0.886
